log,seed,method,ari,n_groups
enterprise,2,trace2vec@k,0.2543789489859978,5
enterprise,3,kappa,1.0,5
enterprise,3,cf_kmeans@k,0.251876346086197,5
enterprise,3,cf_ward@k,0.2960947638086801,5
enterprise,3,ctx_kmeans@k,0.3413908793019084,5
enterprise,3,enabled@k,0.5007630199828805,5
enterprise,3,trace2vec@k,0.24440071989129278,5
enterprise,4,kappa,1.0,5
enterprise,4,cf_kmeans@k,0.15586867011595829,5
enterprise,4,cf_ward@k,0.2133832574641972,5
enterprise,4,ctx_kmeans@k,0.3242460475159055,5
enterprise,4,enabled@k,0.4695750999342249,5
enterprise,4,trace2vec@k,0.24512453216557772,5
