seed,noise,noise_mode,realised_noise,n_added,n_dropped,method,k,n_groups,n_models,ari,nmi,v_measure,homogeneity,completeness,purity,fitness,precision,f1,generalization,simplicity,translucent_fitness,translucent_precision,translucent_f1
0,0.05,balanced,0.04575,308,58,translucent_variants,4,383,383,0.141,0.443,0.443,1.0,0.2848673466486118,1.0,1.0,1.0,1.0,0.498,1.0,0.897,1.0,0.946
0,0.05,balanced,0.04575,308,58,cf_kmeans@k,4,4,4,0.692,0.784,0.784,0.7419065049062825,0.830516921846976,0.812,1.0,0.934,0.966,0.914,0.765,0.942,0.964,0.953
0,0.05,balanced,0.04575,308,58,cf_kmeans@auto,4,8,8,0.403,0.627,0.627,0.7601993808140353,0.533043812150591,0.812,1.0,0.867,0.929,0.882,0.821,0.906,0.952,0.928
0,0.05,balanced,0.04575,308,58,cf_ward@k,4,4,4,0.707,0.771,0.771,0.7502222812136957,0.7934666685350457,0.853,1.0,0.913,0.954,0.921,0.826,0.947,0.952,0.95
0,0.05,balanced,0.04575,308,58,cf_ward@auto,4,8,8,0.486,0.645,0.645,0.7577289916720945,0.5619250479411085,0.853,1.0,0.917,0.957,0.906,0.877,0.922,0.958,0.94
0,0.05,balanced,0.04575,308,58,ctx_kmeans@k,4,4,4,0.823,0.876,0.876,0.8681569940276955,0.8847868493163037,0.92,1.0,0.975,0.987,0.923,0.844,0.974,0.985,0.979
0,0.05,balanced,0.04575,308,58,ctx_kmeans@auto,4,2,2,0.333,0.577,0.577,0.40563906222956586,0.9999999999999988,0.5,1.0,0.699,0.823,0.934,0.687,0.858,0.876,0.867
0,0.05,balanced,0.04575,308,58,trace2vec@k,4,4,4,0.41,0.543,0.543,0.5021622025560313,0.5916910318695177,0.524,1.0,0.834,0.909,0.912,0.712,0.878,0.826,0.851
0,0.05,balanced,0.04575,308,58,trace2vec@auto,4,2,2,0.499,0.667,0.667,0.5,1.0,0.5,1.0,0.895,0.945,0.934,0.719,0.924,0.929,0.926
0,0.05,balanced,0.04575,308,58,enabled@k,4,4,4,0.712,0.852,0.852,0.74950072279359,0.9876063884026096,0.75,1.0,0.895,0.944,0.928,0.785,0.947,0.928,0.937
0,0.05,balanced,0.04575,308,58,enabled@auto,4,3,3,0.333,0.576,0.576,0.4064325069901951,0.9885614418974497,0.501,1.0,0.699,0.823,0.933,0.688,0.858,0.876,0.867
0,0.05,balanced,0.04575,308,58,attr_clean@k,4,4,4,0.668,0.752,0.752,0.6878398361448743,0.8286271917796254,0.732,1.0,0.57,0.726,0.868,0.736,0.783,0.79,0.786
0,0.05,balanced,0.04575,308,58,attr_clean@auto,4,6,6,0.915,0.877,0.877,0.9206032141673121,0.837857658656523,0.962,1.0,0.667,0.8,0.822,0.747,0.787,0.697,0.739
0,0.05,balanced,0.04575,308,58,attr_noisy@k,4,4,4,0.055,0.067,0.067,0.06588639845103052,0.06743205271607523,0.395,1.0,0.389,0.56,0.891,0.641,0.659,0.647,0.653
0,0.05,balanced,0.04575,308,58,attr_noisy@auto,4,7,7,0.102,0.129,0.129,0.15163996722266182,0.11226193336510827,0.482,1.0,0.345,0.513,0.849,0.639,0.645,0.618,0.631
0,0.05,balanced,0.04575,308,58,attr_all@k,4,4,4,0.368,0.427,0.427,0.3977913817048326,0.46025014691983346,0.603,1.0,0.473,0.642,0.859,0.656,0.737,0.745,0.741
0,0.05,balanced,0.04575,308,58,attr_all@auto,4,8,8,0.255,0.313,0.313,0.3832924455937194,0.264403882038108,0.645,1.0,0.423,0.595,0.827,0.66,0.702,0.666,0.684
0,0.05,balanced,0.04575,308,58,attr_oracle@k,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.979,0.989,0.921,0.823,0.982,0.985,0.983
0,0.05,balanced,0.04575,308,58,attr_oracle@auto,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.979,0.989,0.921,0.823,0.982,0.985,0.983
0,0.05,balanced,0.04575,308,58,kappa_identifier,4,246,246,0.591,0.604,0.604,0.9999999999999997,0.4327523121630631,1.0,1.0,0.903,0.949,0.659,0.816,0.997,1.0,0.999
0,0.1,balanced,0.100875,660,147,global,4,1,1,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.248,0.398,0.941,0.608,0.52,0.727,0.606
0,0.1,balanced,0.100875,660,147,kappa,4,427,427,0.305,0.47,0.47,1.0,0.3075561189071075,1.0,1.0,0.977,0.988,0.468,0.906,0.938,0.994,0.965
0,0.1,balanced,0.100875,660,147,kappa_supported,4,4,4,0.995,0.992,0.992,0.991585765221771,0.9915972099228683,0.998,1.0,0.863,0.927,0.903,0.796,0.942,0.947,0.945
0,0.1,balanced,0.100875,660,147,classical_variants,4,94,94,0.224,0.496,0.496,0.8799540370510787,0.3456925156492668,0.925,1.0,0.995,0.997,0.755,1.0,0.891,1.0,0.943
0,0.1,balanced,0.100875,660,147,translucent_variants,4,605,605,0.066,0.392,0.392,1.0000000000000002,0.2439525194795207,1.0,1.0,1.0,1.0,0.314,1.0,0.89,1.0,0.942
0,0.1,balanced,0.100875,660,147,cf_kmeans@k,4,4,4,0.76,0.827,0.827,0.8137612973619254,0.8398570527769404,0.891,1.0,0.693,0.818,0.902,0.719,0.887,0.937,0.911
0,0.1,balanced,0.100875,660,147,cf_kmeans@auto,4,8,8,0.427,0.658,0.658,0.8029033312570412,0.5572411765345311,0.841,1.0,0.956,0.977,0.882,0.848,0.918,0.988,0.952
0,0.1,balanced,0.100875,660,147,cf_ward@k,4,4,4,0.748,0.843,0.843,0.8193263005950444,0.8682733599604034,0.864,1.0,0.862,0.926,0.919,0.78,0.922,0.945,0.933
0,0.1,balanced,0.100875,660,147,cf_ward@auto,4,8,8,0.542,0.688,0.688,0.8214757748785473,0.591104901014996,0.864,1.0,0.981,0.99,0.905,0.894,0.934,0.996,0.964
0,0.1,balanced,0.100875,660,147,ctx_kmeans@k,4,4,4,0.83,0.88,0.88,0.8723015919539513,0.8873264260024288,0.924,1.0,0.723,0.839,0.899,0.758,0.901,0.935,0.917
0,0.1,balanced,0.100875,660,147,ctx_kmeans@auto,4,2,2,0.333,0.577,0.577,0.40563906222956586,0.9999999999999988,0.5,1.0,0.501,0.667,0.939,0.658,0.795,0.833,0.813
0,0.1,balanced,0.100875,660,147,trace2vec@k,4,4,4,0.627,0.692,0.692,0.6884148261783606,0.695178061116883,0.754,1.0,0.782,0.878,0.889,0.724,0.879,0.879,0.879
0,0.1,balanced,0.100875,660,147,trace2vec@auto,4,2,2,0.487,0.636,0.636,0.476797784683625,0.9536065755044195,0.5,1.0,0.651,0.788,0.889,0.693,0.781,0.848,0.813
0,0.1,balanced,0.100875,660,147,enabled@k,4,4,4,0.995,0.991,0.991,0.9905857652217712,0.9905943286102449,0.998,1.0,0.798,0.888,0.872,0.745,0.922,0.94,0.931
0,0.1,balanced,0.100875,660,147,enabled@auto,4,2,2,0.333,0.577,0.577,0.40563906222956586,0.9999999999999988,0.5,1.0,0.501,0.667,0.939,0.658,0.795,0.833,0.813
0,0.1,balanced,0.100875,660,147,attr_clean@k,4,4,4,0.637,0.706,0.706,0.6434216659878299,0.7832668547488063,0.724,1.0,0.49,0.658,0.852,0.72,0.714,0.777,0.744
0,0.1,balanced,0.100875,660,147,attr_clean@auto,4,6,6,0.851,0.81,0.81,0.8623199500194308,0.7631491249277915,0.938,1.0,0.619,0.765,0.857,0.743,0.797,0.847,0.821
0,0.1,balanced,0.100875,660,147,attr_noisy@k,4,4,4,0.034,0.041,0.041,0.040904425652540606,0.04098731945922075,0.363,1.0,0.407,0.579,0.881,0.636,0.677,0.744,0.709
0,0.1,balanced,0.100875,660,147,attr_noisy@auto,4,7,7,0.031,0.042,0.042,0.050077244741466395,0.03629563913125184,0.38,1.0,0.371,0.541,0.853,0.637,0.663,0.692,0.677
0,0.1,balanced,0.100875,660,147,attr_all@k,4,4,4,0.911,0.901,0.901,0.9009219707156724,0.901311544199335,0.965,1.0,0.642,0.782,0.887,0.747,0.807,0.864,0.835
0,0.1,balanced,0.100875,660,147,attr_all@auto,4,8,8,0.232,0.251,0.251,0.308507180383147,0.21170466127080506,0.559,1.0,0.397,0.568,0.808,0.647,0.674,0.693,0.684
0,0.1,balanced,0.100875,660,147,attr_oracle@k,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.947,0.922,0.81,0.952,0.962,0.957
