log,n_views,roles,ari,nmi,purity,confusion,global_precision,kappa_precision,global_simplicity,kappa_simplicity
helpdesk,2,2,1.0,1.0,1.0,C1->agent:320; C2->supervisor:230,0.5,0.573,0.714,0.803
helpdesk_rework,2,2,1.0,1.0,1.0,C1->agent:320; C2->supervisor:230,0.483,0.5,0.697,0.764
