log,method,n_cases,n_models,models_to_cov,fitness,precision,generalization,simplicity,translucent_fitness,translucent_precision,f1,translucent_f1
task_mining_helpdesk,attr_oracle@k,550,2,2,1.0,0.573,0.931,0.803,0.917,1.0,0.728,0.957
task_mining_helpdesk,attr_oracle@auto,550,2,2,1.0,0.573,0.931,0.803,0.917,1.0,0.728,0.957
loop_process,global,600,1,1,1.0,0.662,0.944,0.76,0.889,0.995,0.797,0.939
loop_process,kappa,600,4,3,1.0,0.847,0.932,0.944,0.859,0.973,0.917,0.912
loop_process,kappa_supported,600,4,3,1.0,0.847,0.932,0.944,0.859,0.973,0.917,0.912
loop_process,kappa_identifier,600,4,3,1.0,0.667,0.724,0.835,0.912,1.0,0.8,0.954
loop_process,classical_variants,600,4,3,1.0,0.847,0.932,0.944,0.859,0.973,0.917,0.912
loop_process,translucent_variants,600,4,3,1.0,0.847,0.932,0.944,0.859,0.973,0.917,0.912
loop_process,cf_kmeans@k,600,4,3,1.0,0.847,0.932,0.944,0.859,0.973,0.917,0.912
loop_process,cf_kmeans@auto,600,2,2,1.0,0.855,0.944,0.927,0.863,0.996,0.922,0.925
loop_process,cf_ward@k,600,4,3,1.0,0.847,0.932,0.944,0.859,0.973,0.917,0.912
loop_process,cf_ward@auto,600,2,2,1.0,0.855,0.944,0.927,0.863,0.996,0.922,0.925
loop_process,ctx_kmeans@k,600,4,3,1.0,0.847,0.932,0.944,0.859,0.973,0.917,0.912
loop_process,ctx_kmeans@auto,600,2,2,1.0,0.855,0.944,0.927,0.863,0.996,0.922,0.925
loop_process,trace2vec@k,600,4,3,1.0,0.847,0.932,0.944,0.859,0.973,0.917,0.912
loop_process,trace2vec@auto,600,3,2,1.0,0.846,0.938,0.927,0.863,0.988,0.917,0.921
loop_process,enabled@k,600,4,3,1.0,0.847,0.932,0.944,0.859,0.973,0.917,0.912
loop_process,enabled@auto,600,2,2,1.0,0.855,0.944,0.927,0.863,0.996,0.922,0.925
